,,,,,,
,,,,,,
"     ""Затверджую""",,,,,,
"     Декан факультету правничих наук                            Мелешевич А.А.",,,,,,
,,,,,,
"Розклад занять на весняний семестр 2011-12 н.р. ф-ту правничих наук 5 р.н.",,,,,,
,,,,,,
,,,,,,
"День","Час","Тижні","Дисципліна - викладач ","Група, вид зан.","Корпус, ауд.",
,,,,,,"10 тижнів"
"Пн.","08.30-09.50","2-3","Цивільний захист - доц. Пашков А.П.","Лекція","4-101",
,,"4-9","Цивільний захист - доц. Пашков А.П.",1,"4-319",
,,"4-9","Банківське право - ст.викл. Лобач О.М.",2,"4-321",
,"10.00-11.20","2","Цивільний захист - доц. Пашков А.П.","Лекція","4-425",
,,"8-10","Міжнародний комерційний арбітраж -",1,"9-8",
,,,"    доц. Логуш Л.В.",,,
,,"3","Право міжнародних договорів-","Лекція","4-319",
,,,"проф. Василенко В.А.",,,
,,"4-9","Цивільний захист - доц. Пашков А.П.",3,"4-319",
,"11.40-13.00","2-3","ГК ""Міжнародно-правові аспекти","Лекція","4-425",
,,"4-7","злочину геноциду"" - доц. Антонович М.М.",,"4-333",
,,"4-9","Цивільний захист - доц. Пашков А.П.",2,"4-425",
,"13.30-14.50","2-3","ГК ""Міжнародно-правові аспекти","Лекція","4-314",
,,,"злочину геноциду"" - доц. Антонович М.М.",,,
,,"4-10","ГК ""Міжнародно-правові аспекти",1,"4-314",
,,,"злочину геноциду"" - доц. Антонович М.М.",,,
,,"2-9","   Правове регулювавння обігу ",1,"9-8",
,,,"цінних паперів - ст.викл. Карнаух Т.М",,,
,"15.00-16.20","2-9","Інформаційне право - доц. Смирнова Т.С.","Лекція","4-321",
,"16.30-17.50","2,10","Інформаційне право - ст. викл. Проценко Д.В.",1,"4-321",
,,"3,4","Мовне оформлення дипломних робіт - ",1,"4-321",
,,,"доц. Артикуца Н.В.",,,
"Вт.","08.30-09.50","1-10","Загальне і процесуальне діловодство -","Лекція","4-314",
,,,"ст.викл. Клименко А.Р.",,,
,"10.00-11.20","1","Конституційний процес -доц. Савенко М.Д.","Лекція","4-319",
,,"2","Інформаційне право - доц. Смирнова Т.С.","Лекція","4-319",
,,"3-10","Загальне і процесуальне діловодство -",1,"4-319",
,,,"ст.викл. Клименко А.Р.",,,
,"11.40-13.00","1","Конституційний процес -доц. Савенко М.Д.","Лекція","9-8",
,,"2-10","Інформаційне право - ст. викл. Проценко Д.В.",1,"9-8",
,"13.30-14.50","1","Міжнародний комерційний арбітраж -","Лекція","9-8",
,,,"    доц. Логуш Л.В.",,,
,,"2-10","Міжнародний комерційний арбітраж -",1,"9-8",
,,,"    доц. Логуш Л.В.",,,
,,"2,4-9","   Правове регулювавння обігу ",2,"4-319",
,,,"цінних паперів - доц. Посполітак В.В.",,,
,"15.00-16.20","1-10","Міжнародний комерційний арбітраж -","Лекція","4-101",
,,,"    доц. Логуш Л.В.",,,
,"16.30-17.50","2-10","Міжнародний комерційний арбітраж -",2,"4-425",
,,,"    доц. Логуш Л.В.",,,
"Ср.","08.30-09.50","1-10","Правове регулювання банкрутства -","Лекція","4-425",
,,,"ст.викл. Лобач О.М.",,,
,,"1","Конституційний процес -доц. Савенко М.Д.","Лекція","4-317",
,"10.00-11.20","1,2,4","   Правове регулювавння обігу ","Лекція","4-319",
,,,"цінних паперів - доц. Посполітак В.В.",,,
,,"5-10","Мовне оформлення дипломних робіт - ",1,"9-29",
,,,"доц. Артикуца Н.В.",,,
,"11.40-13.00","1,2,4","   Правове регулювавння обігу ","Лекція","4-317",
,,,"цінних паперів - доц. Посполітак В.В.",,,
,,"5-10","Конституційний процес -доц. Савенко М.Д.","Лекція","8-12",
,"13.30-14.50","1-3","Мовне оформлення дипломних робіт - ","Лекція","9-29",
,,,"доц. Артикуца Н.В.",,,
,,"4","Мовне оформлення дипломних робіт - ",1,"9-29",
,,,"доц. Артикуца Н.В.",,,
,,"5-10","Конституційний процес -доц. Савенко М.Д.",1,"8-12",
,"15.00-16.20","1-9","Бухгалтерський облік і судово-","Лекція","4-321",
,,,"бухгалтерська експертиза - доц. Берлач Н.А.",,,
,,"10","Бухгалтерський облік і судово-",1,"4-321",
,,,"бухгалтерська експертиза - доц. Берлач Н.А.",,,
,"16.30-17.50","1","Бухгалтерський облік і судово-","Лекція","4-321",
,,,"бухгалтерська експертиза - доц. Берлач Н.А.",,,
,,"2-10","Бухгалтерський облік і судово-",1,"4-321",
,,,"бухгалтерська експертиза - доц. Берлач Н.А.",,,
"Чт.","08.30-09.50","1-8","Правове регулювання зовнішньо-","Лекція","4-314","8 бер.-9 т"
,,,"економічної діяльності - доц. Посполітак В.В.",,,
,"10.00-11.20","1","Правове регулювання зовнішньо-","Лекція","4-317",
,,,"економічної діяльності - доц. Посполітак В.В.",,,
,,"2-8,10","Правове регулювання зовнішньо-",1,"4-317",
,,,"економічної діяльності - доц. Посполітак В.В.",,,
,"11.40-13.00","1","   Правове регулювавння обігу ","Лекція","4-321",
,,,"цінних паперів - доц. Посполітак",,,
,,"2-8,10","Право міжнародних договорів-","Лекція","4-321",
,,,"проф. Василенко В.А.",,,
,"13.30-14.50","2","Право міжнародних договорів-","Лекція","4-321",
,,,"проф. Василенко В.А.",,,
,,"3-8,10","Право міжнародних договорів-",1,"4-321",
,,,"проф. Василенко В.А.",,,
,"15.00-16.20","2","Міжнародний комерційний арбітраж -","Лекція","4-319",
,,,"    доц. Логуш Л.В.",,,
,,"3,5,7","Міжнародний комерційний арбітраж -",2,"4-319",
,,,"    доц. Логуш Л.В.",,,
,,"4,6,8","Міжнародний комерційний арбітраж -",1,"4-319",
,,,"    доц. Логуш Л.В.",,,
,,"10","Бухгалтерський облік і судово-",1,"4-319",
,,,"бухгалтерська експертиза - доц. Берлач Н.А.",,,
,,"1","Банківське право - ст. викл. Кравченко Н.Г.","Лекція","4-321",
,"16.30-17.50","1-8,10","Банківське право - ст. викл. Кравченко Н.Г.","Лекція","4-100",
"Пт.","08.30-09.50","1-10","   Адвокатська діяльність-","Лекція","4-101",
,"10.00-11.20","2-10","   Адвокатська діяльність-",1,"4-101",
,,"1","Правове регулювання банкрутства -","Лекція","4-319",
,,,"ст.викл. Лобач О.М.",,,
,"11.40-13.00","1-10","Правове регулювання банкрутства -",1,"4-101",
,,,"ст.викл. Лобач О.М.",,,
,,"5-8","ГК ""Змагальне провадження""- ст.викл. Девід Левіт","Лекція","4-333",
,,"9,10","ГК ""Змагальне провадження""- ст.викл. Девід Левіт",1,"4-333",
,"13.30-14.50","1-10","Правове регулювання банкрутства -",2,"8-12",
,,,"ст.викл. Лобач О.М.",,,
,,"3-9","Страхове право - ст.викл. Лазарєва А.С.",1,"8-11",
,"15.00-16.20","1","Інформаційне право - доц. Смирнова Т.С.","Лекція","4-321",
,,"3-9","Страхове право - ст.викл. Лазарєва А.С.",2,"8-11",
,,"2-9","Банківське право - ст.викл. Лобач О.М.",1,"4-319",
,"16.30-17.50","1-8","Страхове право - ст.викл. Лазарєва А.С.","Лекція","4-321",
,,"9,10","Право міжнародних договорів-",1,"4-321",
,,,"проф. Василенко В.А.",,,
"Сб.","08.30-09.50","1-2","Міжнародне інвестиційне право  та міжн.","Лекція","4-314",
,,,"механізми захисту інвестицій - ст. викл. Черних Ю.С.",,,
,,"3-9","Міжнародне інвестиційне право  та міжн.",1,"4-314",
,,,"механізми захисту інвестицій - ст. викл. Черних Ю.С.",,,
,"10.00-11.20","1-6","Міжнародне інвестиційне право  та міжн.","Лекція","4-314",
,,,"механізми захисту інвестицій - ст. викл. Черних Ю.С.",,,
,,"7,8","Право міжнародних договорів-",1,"4-321",
,,,"проф. Василенко В.А.",,,
,,"9,10","   Адвокатська діяльність-",1,"4-321",
,"11.40-13.00","1-9","Проблеми адміністративного права - доц. Іщенко Ю.В.","Лекція","4-321",
,,"10","ГК ""Змагальне провадження""- ст.викл. Девід Левіт",1,"4-321",
,"13.30-14.50","2-10","Проблеми адміністративного права - доц. Іщенко Ю.В.",1,"4-321",
,,"1","Конституційний процес -доц. Савенко М.Д.","Лекція","4-321",
,"15.00-16.20","1","Конституційний процес -доц. Савенко М.Д.","Лекція","4-321",
,,"2,3","Банківське право - ст.викл. Лобач О.М.",2,"4-321",
,,"5,6","ГК ""Змагальне провадження""- ст.викл. Девід Левіт",1,"4-321",
,,"7-10","Конституційний процес -доц. Савенко М.Д.",1,"4-321",
,"16.30-17.50","5-8","ГК ""Змагальне провадження""- ст.викл. Девід Левіт","Лекція","4-321",
,,"9,10","ГК ""Змагальне провадження""- ст.викл. Девід Левіт",1,"4-321",
,,"1,2","   Правове регулювавння обігу ","Лекція","4-321",
,,,"цінних паперів - доц. Посполітак В.В.",,,
,,"3","   Правове регулювавння обігу ",2,"4-321",
,,,"цінних паперів - доц. Посполітак В.В.",,,
"Провідний спеціаліст деканату",,,,"В.П. Кучер",,
